DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2017,1442313,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2018,1471520,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2019,1524245,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2020,1472114,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2021,1586813,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2012,80634,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2013,79680,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2014,80291,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2015,83297,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2016,86543,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2017,88469,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2018,92390,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2019,96688,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2020,88086,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2021,95294,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2012,1129699,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2013,1105951,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2014,1094922,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2015,1115091,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2016,1144365,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2017,1179134,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2018,1206413,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2019,1230438,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2020,1125918,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2021,1206047,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2012,2474465,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2013,2646345,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2014,2617586,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2015,2647717,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2016,2413889,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2017,2458205,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2018,2498533,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2019,2511511,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2020,2451507,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,JP,2021,2441673,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2012,14611,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2013,15275,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2014,15595,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2015,16257,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2016,16676,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2017,17531,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2018,18600,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2019,19140,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2020,17924,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2021,19638,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2012,513937,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2013,515277,
ESTAT:PRC_PPP_IND$DEFAULTVIEW(1.0),24/06/22 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2014,522630,
